,timestamp,altitude,longitude,latitude,speed,accuracy
6,1557278312000,180.0,127.3479843,36.3596926,1.9,89.0
7,1557278313000,188.0,127.34798130000001,36.3597806,1.78,66.27199999999999
8,1557278315216,0.0,127.3478841,36.359375899999996,3.3899998999999994,25.85
9,1557278317000,0.0,127.3478513,36.3592399,1.4699999,22.643
10,1557278320000,0.0,127.3478382,36.3591869,2.87,21.072
11,1557278325297,138.0,127.34782150000001,36.3592955,3.6899998,17.148
12,1557278327000,125.0,127.3477997,36.359418,2.9199998,18.198
13,1557278328000,121.0,127.3477865,36.3594802,3.21,17.33
14,1557278329000,119.0,127.34778329999999,36.3595258,3.1299999,16.824
15,1557278331000,117.0,127.34779170000002,36.359573499999996,2.3,15.047
16,1557278334000,119.0,127.3478462,36.3595864,3.22,14.458
17,1557278335366,114.0,127.34790009999999,36.3595679,3.25,13.799000000000001
18,1557278337000,112.0,127.34795940000001,36.359547,3.31,12.922
42,1557278364000,94.0,127.3497163,36.35924910000001,2.6399999,9.732999999999999
43,1557278367000,94.0,127.3497821,36.3592414,2.4199998,9.021
44,1557278369000,94.0,127.34983740000001,36.3592304,3.36,8.897
207,1557278542000,62.0,127.36167409999999,36.3641316,3.27,3.551
209,1557278610000,62.0,127.36176880000001,36.3641835,1.5699999,4.302
210,1557278613000,62.0,127.36182040000001,36.364204,2.3999999,4.828
211,1557278615000,62.0,127.36186880000001,36.364227299999996,3.02,5.12
212,1557278617000,62.0,127.3619297,36.3642573,3.1399999,5.457999999999999
213,1557278619000,62.0,127.36199669999999,36.3642918,3.56,5.322
214,1557278621000,62.0,127.3620665,36.3643283,3.6599998,5.574
215,1557278623000,62.0,127.3621345,36.364365,3.9599998,5.211
216,1557278625000,62.0,127.3622134,36.364403100000004,3.6899998,5.505
236,1557278662000,61.0,127.363918,36.3651628,3.9499998,3.8360000000000003
237,1557278664000,61.0,127.36399070000002,36.365185499999995,3.84,3.7289999999999996
243,1557278675000,61.0,127.3644793,36.3653442,3.9399998,3.7910000000000004
244,1557278677000,61.0,127.3645367,36.365375,3.9399998,3.3539999999999996
245,1557278679000,61.0,127.3645678,36.3654125,3.98,4.033
246,1557278683000,62.0,127.3644971,36.365435299999994,3.53,5.115
247,1557278685000,62.0,127.3644308,36.3654156,3.34,4.756
248,1557278687000,62.0,127.36435630000001,36.3653963,3.6599998,4.649
249,1557278689000,62.0,127.364278,36.3653773,3.72,4.5360000000000005
250,1557278691000,63.0,127.3641942,36.3653592,3.9399998,4.274
254,1557278696000,63.0,127.3639131,36.3654126,3.6799998,3.772
255,1557278698000,63.0,127.3638683,36.3654461,3.6699998,3.736
257,1557278701000,63.0,127.36375009999999,36.3655179,3.9299998,4.371
259,1557278704000,62.0,127.3636777,36.365602,3.6899998,4.296
260,1557278706000,62.0,127.36369209999998,36.365652399999995,3.07,3.9739999999999998
261,1557278709000,63.0,127.3636895,36.36571729999999,3.3799998999999996,4.69
262,1557278711000,63.0,127.36366070000001,36.3657761,3.29,5.13
263,1557278713000,63.0,127.3636247,36.3658275,3.1299999,5.3
264,1557278715000,63.0,127.3635865,36.3658789,3.07,4.691
265,1557278717000,63.0,127.36354890000001,36.3659205,3.75,4.801
266,1557278719000,63.0,127.36349409999998,36.365973499999996,3.58,4.5969999999999995
267,1557278721000,63.0,127.3634412,36.366026399999996,3.77,4.518
268,1557278723000,63.0,127.36339129999999,36.366078200000004,3.7099998,4.428
