UID,responseTime_KDT,responseTime_unixtimestamp,Valence,Arousal,Attention,Stress,Duration,Disturbance_level,Emotion_change
3024,2019-04-29T13:06:20.000+09:00,1556510780,1,1,-1,0,10,-1,-1
3024,2019-04-29T13:33:38.000+09:00,1556512418,-1,-1,1,1,10,1,0
3029,2019-04-29T13:48:57.000+09:00,1556513337,2,0,1,0,5,-1,0
3025,2019-04-29T13:54:47.000+09:00,1556513687,1,0,0,0,60,0,0
3028,2019-04-29T14:19:59.000+09:00,1556515199,1,0,0,-1,60,-3,0
3027,2019-04-29T14:20:14.000+09:00,1556515214,0,0,-1,2,15,0,-1
3024,2019-04-29T14:31:41.000+09:00,1556515901,2,-2,1,1,60,2,1
3012,2019-04-29T15:00:22.000+09:00,1556517622,1,-2,-1,-3,30,1,-1
3027,2019-04-29T15:14:33.000+09:00,1556518473,-1,0,1,0,5,2,2
3024,2019-04-29T15:26:33.000+09:00,1556519193,1,-1,2,-1,30,1,1
3029,2019-04-29T15:31:52.000+09:00,1556519512,-1,-1,-1,0,5,0,0
3027,2019-04-29T16:03:38.000+09:00,1556521418,0,0,0,1,15,0,-1
3014,2019-04-29T16:24:11.000+09:00,1556522651,0,-1,-1,-2,20,-1,0
3024,2019-04-29T16:30:42.000+09:00,1556523042,1,-1,-2,-2,30,-1,0
3027,2019-04-29T16:59:39.000+09:00,1556524779,-3,-1,-1,3,60,-1,0
3012,2019-04-29T17:41:20.000+09:00,1556527280,1,1,2,-1,15,-1,0
3012,2019-04-29T18:19:40.000+09:00,1556529580,1,2,1,-2,10,1,0
3024,2019-04-29T18:40:41.000+09:00,1556530841,2,1,1,-2,30,1,0
3027,2019-04-29T18:41:10.000+09:00,1556530870,1,-1,1,0,60,2,1
3012,2019-04-29T18:50:21.000+09:00,1556531421,2,2,-2,-1,15,-1,0
3027,2019-04-29T19:17:53.000+09:00,1556533073,3,3,2,-1,30,-1,1
3012,2019-04-29T19:36:35.000+09:00,1556534195,-2,-1,-2,2,20,2,-2
3012,2019-04-29T20:01:11.000+09:00,1556535671,-1,0,-1,1,15,1,-1
3024,2019-04-29T20:05:21.000+09:00,1556535921,2,1,2,-2,20,2,0
3027,2019-04-29T20:14:34.000+09:00,1556536474,-1,2,2,3,15,-1,-3
3028,2019-04-29T20:48:07.000+09:00,1556538487,3,1,2,-2,10,-2,0
3012,2019-04-29T21:03:00.000+09:00,1556539380,-2,-1,-2,1,20,0,0
3012,2019-04-29T21:46:08.000+09:00,1556541968,2,2,2,-2,5,0,0
3024,2019-04-29T21:53:01.000+09:00,1556542381,2,1,3,-1,60,2,1
3027,2019-04-29T22:44:39.000+09:00,1556545479,0,1,0,-1,20,2,0
3019,2019-04-30T08:43:42.000+09:00,1556581422,0,0,0,-1,5,0,0
3029,2019-04-30T09:09:42.000+09:00,1556582982,0,1,0,1,10,0,-1
3005,2019-04-30T09:59:32.000+09:00,1556585972,1,-2,0,-2,60,1,2
3025,2019-04-30T10:01:12.000+09:00,1556586072,2,0,0,-3,60,0,0
3022,2019-04-30T10:03:28.000+09:00,1556586208,1,2,0,1,20,1,0
3024,2019-04-30T10:05:31.000+09:00,1556586331,1,-2,-2,0,20,1,0
3024,2019-04-30T10:05:32.000+09:00,1556586332,1,-2,-2,0,20,1,0
3027,2019-04-30T10:07:36.000+09:00,1556586456,-2,0,-3,3,60,0,1
3008,2019-04-30T10:13:46.000+09:00,1556586826,0,0,-1,1,60,2,0
3028,2019-04-30T10:23:53.000+09:00,1556587433,-1,0,-1,1,60,-2,0
3029,2019-04-30T10:25:01.000+09:00,1556587501,0,-1,-1,0,10,1,0
3017,2019-04-30T10:26:45.000+09:00,1556587605,-2,-2,-2,2,60,-1,0
3025,2019-04-30T10:26:59.000+09:00,1556587619,2,-1,1,-1,30,1,-1
3010,2019-04-30T10:29:37.000+09:00,1556587777,1,1,0,-2,5,-2,0
3015,2019-04-30T10:37:00.000+09:00,1556588220,1,-1,-1,1,15,-2,0
3027,2019-04-30T10:39:33.000+09:00,1556588373,1,0,0,0,20,3,2
3010,2019-04-30T10:42:35.000+09:00,1556588555,1,-2,1,1,10,2,0
3012,2019-04-30T10:51:24.000+09:00,1556589084,1,1,2,-1,30,0,0
3021,2019-04-30T10:55:29.000+09:00,1556589329,0,0,0,0,60,2,2
3014,2019-04-30T10:56:50.000+09:00,1556589410,-3,2,2,3,60,0,0
3030,2019-04-30T11:01:19.000+09:00,1556589679,0,0,0,0,60,-2,0
3030,2019-04-30T11:01:20.000+09:00,1556589680,0,0,0,0,60,-2,0
3022,2019-04-30T11:08:29.000+09:00,1556590109,2,1,1,-1,5,0,1
3024,2019-04-30T11:09:22.000+09:00,1556590162,2,-1,0,0,30,2,0
3025,2019-04-30T11:11:55.000+09:00,1556590315,1,-2,0,0,30,-3,-2
3028,2019-04-30T11:18:30.000+09:00,1556590710,-1,-1,-2,1,30,-3,0
3005,2019-04-30T11:18:50.000+09:00,1556590730,1,-1,-2,0,30,1,0
3012,2019-04-30T11:23:19.000+09:00,1556590999,2,2,3,-1,20,0,0
3001,2019-04-30T11:23:28.000+09:00,1556591008,2,0,2,-2,60,-2,0
3027,2019-04-30T11:25:23.000+09:00,1556591123,1,1,3,1,5,1,0
3010,2019-04-30T11:25:24.000+09:00,1556591124,1,-2,1,1,60,2,0
3018,2019-04-30T11:34:21.000+09:00,1556591661,0,-3,1,1,60,-2,0
3009,2019-04-30T11:50:51.000+09:00,1556592651,0,-2,-1,-2,60,-3,0
3014,2019-04-30T11:51:10.000+09:00,1556592670,-3,-1,-2,2,#N/A,-1,0
3030,2019-04-30T11:53:07.000+09:00,1556592787,-1,0,0,1,#N/A,0,-1
3015,2019-04-30T11:56:09.000+09:00,1556592969,1,0,0,-1,10,-1,1
3015,2019-04-30T11:56:09.000+09:00,1556592969,1,0,0,-1,10,-1,1
3012,2019-04-30T11:57:07.000+09:00,1556593027,2,2,-1,0,20,0,0
3021,2019-04-30T12:01:00.000+09:00,1556593260,0,0,0,0,20,1,1
3029,2019-04-30T12:01:17.000+09:00,1556593277,1,1,1,0,10,0,0
3025,2019-04-30T12:01:51.000+09:00,1556593311,2,-2,2,1,10,2,-2
3019,2019-04-30T12:02:11.000+09:00,1556593331,-1,1,0,2,10,2,0
3013,2019-04-30T12:05:09.000+09:00,1556593509,-1,-2,1,-1,30,-2,0
3010,2019-04-30T12:10:03.000+09:00,1556593803,3,1,2,-2,10,1,1
